epoch,train_loss,valid_loss,pearsonr,time
0,1.0796630382537842,0.9710007905960083,0.17562157662979785,00:40
1,0.958820104598999,0.7759603261947632,0.4735086051609981,00:41
2,0.8672286868095398,0.6864335536956787,0.5410030421355457,00:40
3,0.7929604649543762,0.620173454284668,0.5949633169141471,00:41
4,0.739485502243042,0.5833314657211304,0.6286926333056594,00:41
5,0.688920795917511,0.5616739392280579,0.6506388512262921,00:42
6,0.6437634825706482,0.5062523484230042,0.6794738973129346,00:40
7,0.6020551323890686,0.47863972187042236,0.700398284515953,00:41
8,0.5654308795928955,0.4636700749397278,0.7091114171972192,00:40
9,0.5361581444740295,0.460980623960495,0.7109153878116915,00:41
