epoch,train_loss,valid_loss,pearsonr,time
0,1.0704354047775269,0.9457878470420837,0.22647926250905587,00:42
1,0.941270112991333,0.7883167862892151,0.4826469398095889,00:45
2,0.858975887298584,0.6831613183021545,0.5525884720090045,00:43
3,0.7829713225364685,0.6081521511077881,0.6032564490838528,00:41
4,0.7242273092269897,0.5926406979560852,0.6289655385562527,00:41
5,0.6753854751586914,0.5325291752815247,0.6592468954139625,00:46
6,0.6314421892166138,0.5039814114570618,0.6807729562921679,00:48
7,0.5934378504753113,0.4894842505455017,0.6915148251378043,00:50
8,0.5626635551452637,0.48451748490333557,0.6940201103686651,00:47
